;Customer ID;Tenure Months;Location;Device Class;Games Product;Music Product;Education Product;Call Center;Video Product;Use MyApp;Payment Method;Monthly Purchase (Thou. IDR);Churn Label;Longitude;Latitude;CLTV (Predicted Thou. IDR);Combination
149;149;9;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;38,935;Yes;106,816666;-6,2;3344,9;Combination 8
150;150;9;Jakarta;Mid End;Yes;Yes;Yes;Yes;No;No;Digital Wallet;84,5;Yes;106,816666;-6,2;5177,9;Combination 17
157;157;43;Jakarta;Mid End;No;No;No;No;Yes;No;Pulsa;72,995;Yes;106,816666;-6,2;2797,6;Combination 9
160;160;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;59,41;Yes;106,816666;-6,2;2983,5;Combination 2
166;166;4;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;31,525;Yes;106,816666;-6,2;2649,4;Combination 2
168;168;4;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;59,345;Yes;106,816666;-6,2;3723,2;Combination 2
170;170;52;Jakarta;Mid End;No;Yes;No;No;Yes;Yes;Pulsa;63,895;Yes;106,816666;-6,2;7276,1;Combination 7
171;171;2;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;45,11;Yes;106,816666;-6,2;4089,8;Combination 2
173;173;2;Jakarta;Mid End;Yes;No;No;No;No;No;Pulsa;64,025;Yes;106,816666;-6,2;4517,5;Combination 11
175;175;3;Jakarta;Mid End;No;No;Yes;No;No;No;Pulsa;65,195;Yes;106,816666;-6,2;4254,9;Combination 5
179;179;3;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;58,955;Yes;106,816666;-6,2;3185;Combination 2
193;193;2;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;58,955;Yes;106,816666;-6,2;4521,4;Combination 2
194;194;1;Jakarta;Mid End;No;No;No;Yes;No;No;Pulsa;67,86;Yes;106,816666;-6,2;5379,4;Combination 2
210;210;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;57,72;Yes;106,816666;-6,2;4578,6;Combination 2
215;215;1;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;66,04;Yes;106,816666;-6,2;4833,4;Combination 8
221;221;60;Bandung;Mid End;No;Yes;No;No;Yes;Yes;Pulsa;66,04;Yes;107,60981;-6,914744;6423,3;Combination 7
227;227;1;Bandung;Mid End;No;No;No;No;No;No;Pulsa;31,98;Yes;107,60981;-6,914744;7498,4;Combination 2
240;240;2;Bandung;Mid End;No;No;No;No;No;No;Digital Wallet;58,435;Yes;107,60981;-6,914744;7670;Combination 2
241;241;1;Bandung;Mid End;No;No;No;No;No;No;Credit;58,11;Yes;107,60981;-6,914744;4810;Combination 2
242;242;1;Bandung;Mid End;No;No;No;No;No;No;Digital Wallet;59,41;Yes;107,60981;-6,914744;4642,3;Combination 2
247;247;44;Bandung;Mid End;No;Yes;No;No;No;No;Pulsa;39,455;Yes;107,60981;-6,914744;6277,7;Combination 8
261;261;18;Bandung;Mid End;No;No;Yes;No;No;Yes;Pulsa;74,685;Yes;107,60981;-6,914744;3885,7;Combination 5
262;262;12;Bandung;Mid End;No;No;No;No;No;Yes;Credit;69,745;Yes;107,60981;-6,914744;3373,5;Combination 2
271;271;12;Bandung;Mid End;No;No;Yes;Yes;No;Yes;Pulsa;56,745;Yes;107,60981;-6,914744;3168,1;Combination 5
272;272;5;Bandung;Mid End;No;No;Yes;No;No;Yes;Pulsa;51,35;Yes;107,60981;-6,914744;3721,9;Combination 5
281;281;2;Bandung;Mid End;No;Yes;No;No;No;No;Credit;63,765;Yes;107,60981;-6,914744;3848;Combination 8
289;289;3;Jakarta;Mid End;No;Yes;Yes;No;No;No;Digital Wallet;72,995;Yes;106,816666;-6,2;3300,7;Combination 14
292;292;19;Jakarta;Mid End;No;No;No;No;Yes;Yes;Credit;58,305;Yes;106,816666;-6,2;6736,6;Combination 9
295;295;14;Jakarta;Mid End;Yes;No;No;No;Yes;No;Debit;84,11;Yes;106,816666;-6,2;5263,7;Combination 12
297;297;1;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;46,215;Yes;106,816666;-6,2;5145,4;Combination 2
301;301;1;Jakarta;Mid End;No;Yes;No;No;No;No;Digital Wallet;40,755;Yes;106,816666;-6,2;4686,5;Combination 8
307;307;21;Jakarta;Mid End;No;No;Yes;No;Yes;No;Debit;78,065;Yes;106,816666;-6,2;6130,8;Combination 3
308;308;1;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;78,195;Yes;106,816666;-6,2;5994,3;Combination 2
314;314;11;Jakarta;Mid End;No;No;No;Yes;No;Yes;Pulsa;86,255;Yes;106,816666;-6,2;3718;Combination 2
319;319;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;59,605;Yes;106,816666;-6,2;4817,8;Combination 2
320;320;16;Jakarta;Mid End;No;No;No;Yes;Yes;Yes;Pulsa;64,935;Yes;106,816666;-6,2;6292;Combination 9
324;324;1;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;58,89;Yes;106,816666;-6,2;5938,4;Combination 2
327;327;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;58,565;Yes;106,816666;-6,2;5322,2;Combination 2
330;330;2;Jakarta;Mid End;No;No;No;Yes;No;No;Pulsa;40,17;Yes;106,816666;-6,2;3718;Combination 2
336;336;6;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;58,175;Yes;106,816666;-6,2;2713,1;Combination 2
337;337;11;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;57,265;Yes;106,816666;-6,2;4160;Combination 2
349;349;1;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;32,76;Yes;106,816666;-6,2;7394,4;Combination 2
350;350;2;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;58,5;Yes;106,816666;-6,2;7415,2;Combination 2
353;353;3;Jakarta;Mid End;No;No;No;No;Yes;No;Credit;71,11;Yes;106,816666;-6,2;4335,5;Combination 9
361;361;59;Jakarta;Mid End;No;Yes;No;No;No;Yes;Debit;53,365;Yes;106,816666;-6,2;5621,2;Combination 8
364;364;5;Jakarta;Mid End;No;No;Yes;No;Yes;Yes;Digital Wallet;91;Yes;106,816666;-6,2;3474,9;Combination 3
365;365;1;Jakarta;Mid End;No;No;No;No;No;No;Debit;64,935;Yes;106,816666;-6,2;2653,3;Combination 2
368;368;41;Jakarta;Mid End;No;No;Yes;No;Yes;Yes;Pulsa;94,9;Yes;106,816666;-6,2;2653,3;Combination 3
371;371;18;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;45,5;Yes;106,816666;-6,2;3443,7;Combination 2
377;377;1;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;65,585;Yes;106,816666;-6,2;3806,4;Combination 2
392;392;2;Jakarta;Mid End;No;Yes;No;Yes;No;No;Credit;71,565;Yes;106,816666;-6,2;7611,5;Combination 8
398;398;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;33,54;Yes;106,816666;-6,2;5049,2;Combination 2
399;399;2;Jakarta;Mid End;Yes;Yes;No;No;No;Yes;Pulsa;55,38;Yes;106,816666;-6,2;6042,4;Combination 1
400;400;29;Jakarta;Mid End;Yes;Yes;Yes;No;No;Yes;Debit;89,505;Yes;106,816666;-6,2;7083,7;Combination 17
406;406;1;Bandung;Mid End;No;No;No;No;No;No;Digital Wallet;59,605;Yes;107,60981;-6,914744;7709;Combination 2
412;412;3;Bandung;Mid End;No;No;No;No;No;No;Pulsa;58,5;Yes;107,60981;-6,914744;5388,5;Combination 2
415;415;7;Bandung;Mid End;No;No;No;Yes;Yes;No;Digital Wallet;77,35;Yes;107,60981;-6,914744;6059,3;Combination 9
421;421;15;Bandung;Mid End;Yes;No;No;No;No;Yes;Debit;84,045;Yes;107,60981;-6,914744;6214;Combination 11
430;430;17;Bandung;Mid End;No;No;No;No;No;No;Pulsa;58,565;Yes;107,60981;-6,914744;4936,1;Combination 2
436;436;3;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;57,59;Yes;106,816666;-6,2;6373,9;Combination 2
441;441;1;Jakarta;Mid End;No;No;Yes;No;No;No;Digital Wallet;65,195;Yes;106,816666;-6,2;4469,4;Combination 5
444;444;26;Jakarta;Mid End;No;Yes;No;Yes;No;No;Pulsa;78,065;Yes;106,816666;-6,2;2650,7;Combination 8
445;445;1;Jakarta;Mid End;No;No;No;No;Yes;No;Pulsa;45,11;Yes;106,816666;-6,2;5818,8;Combination 9
450;450;4;Jakarta;Mid End;No;No;Yes;Yes;Yes;Yes;Pulsa;96,72;Yes;106,816666;-6,2;4722,9;Combination 3
452;452;1;Jakarta;Mid End;No;No;No;No;Yes;No;Pulsa;77,805;Yes;106,816666;-6,2;5222,1;Combination 9
454;454;9;Jakarta;Mid End;No;No;No;No;Yes;Yes;Pulsa;59,02;Yes;106,816666;-6,2;6536,4;Combination 9
476;476;57;Bandung;Mid End;No;No;No;No;Yes;Yes;Pulsa;58,305;Yes;107,60981;-6,914744;6723,6;Combination 9
477;477;1;Bandung;Mid End;No;No;No;No;No;No;Pulsa;58,63;Yes;107,60981;-6,914744;5848,7;Combination 2
481;481;10;Bandung;Mid End;No;No;No;No;No;No;Pulsa;59,215;Yes;107,60981;-6,914744;5326,1;Combination 2
482;482;2;Bandung;Mid End;No;No;No;No;No;Yes;Pulsa;45,63;Yes;107,60981;-6,914744;3435,9;Combination 2
483;483;1;Bandung;Mid End;No;No;No;No;No;No;Credit;60,06;Yes;107,60981;-6,914744;5417,1;Combination 2
484;484;1;Bandung;Mid End;No;No;No;No;No;No;Pulsa;58,695;Yes;107,60981;-6,914744;7576,4;Combination 2
485;485;1;Bandung;Mid End;No;Yes;Yes;No;No;Yes;Pulsa;56,29;Yes;107,60981;-6,914744;6463,6;Combination 14
486;486;38;Bandung;Mid End;Yes;Yes;No;No;No;No;Credit;74,295;Yes;107,60981;-6,914744;4043;Combination 1
489;489;1;Bandung;Mid End;No;No;No;No;No;No;Digital Wallet;59,735;Yes;107,60981;-6,914744;6354,4;Combination 2
496;496;1;Bandung;Mid End;No;No;No;No;No;No;Digital Wallet;58,63;Yes;107,60981;-6,914744;3562;Combination 2
497;497;30;Bandung;Mid End;No;Yes;No;No;No;No;Debit;65,52;Yes;107,60981;-6,914744;6233,5;Combination 8
501;501;1;Bandung;Mid End;No;No;Yes;No;No;No;Digital Wallet;66,17;Yes;107,60981;-6,914744;6644,3;Combination 5
506;506;8;Bandung;Mid End;No;No;No;No;No;No;Digital Wallet;33,15;Yes;107,60981;-6,914744;7251,4;Combination 2
511;511;24;Jakarta;Mid End;Yes;No;No;No;No;No;Debit;64,415;Yes;106,816666;-6,2;6506,5;Combination 11
512;512;69;Jakarta;Mid End;Yes;Yes;Yes;Yes;No;Yes;Credit;102,18;Yes;106,816666;-6,2;8099;Combination 17
518;518;12;Jakarta;Mid End;No;Yes;No;No;No;No;Digital Wallet;37,96;Yes;106,816666;-6,2;4871,1;Combination 8
522;522;1;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;59,41;Yes;106,816666;-6,2;4143,1;Combination 2
524;524;2;Jakarta;Mid End;No;No;No;No;Yes;Yes;Pulsa;57,98;Yes;106,816666;-6,2;7126,6;Combination 9
529;529;5;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;61,295;Yes;106,816666;-6,2;3714,1;Combination 2
535;535;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;58,89;Yes;106,816666;-6,2;3963,7;Combination 2
545;545;2;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;64,22;Yes;106,816666;-6,2;6649,5;Combination 2
546;546;22;Jakarta;Mid End;Yes;No;No;Yes;Yes;Yes;Pulsa;102,96;Yes;106,816666;-6,2;4433;Combination 12
547;547;7;Jakarta;Mid End;No;No;Yes;No;No;No;Pulsa;63,31;Yes;106,816666;-6,2;3879,2;Combination 5
549;549;49;Jakarta;Mid End;Yes;Yes;No;No;No;No;Credit;77,675;Yes;106,816666;-6,2;7807,8;Combination 1
556;556;4;Jakarta;Mid End;Yes;Yes;No;No;No;No;Pulsa;43,745;Yes;106,816666;-6,2;3331,9;Combination 1
562;562;1;Jakarta;Mid End;No;No;Yes;No;No;No;Pulsa;70,655;Yes;106,816666;-6,2;5475,6;Combination 5
563;563;5;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;32,435;Yes;106,816666;-6,2;7624,5;Combination 2
564;564;40;Jakarta;Mid End;Yes;Yes;Yes;No;No;No;Pulsa;55,055;Yes;106,816666;-6,2;7048,6;Combination 17
577;577;24;Jakarta;Mid End;Yes;No;No;No;No;No;Pulsa;71,175;Yes;106,816666;-6,2;7408,7;Combination 11
589;589;34;Jakarta;Mid End;Yes;Yes;No;Yes;No;No;Digital Wallet;83,72;Yes;106,816666;-6,2;6745,7;Combination 1
600;600;16;Jakarta;Mid End;No;No;Yes;No;No;Yes;Credit;84,76;Yes;106,816666;-6,2;6138,6;Combination 5
605;605;13;Jakarta;Mid End;No;No;Yes;No;Yes;Yes;Debit;63,375;Yes;106,816666;-6,2;3451,5;Combination 3
608;608;1;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;32,695;Yes;106,816666;-6,2;7001,8;Combination 2
611;611;2;Jakarta;Mid End;Yes;No;No;No;No;No;Pulsa;62,14;Yes;106,816666;-6,2;5374,2;Combination 11
617;617;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;59,735;Yes;106,816666;-6,2;5931,9;Combination 2
627;627;42;Jakarta;Mid End;No;Yes;No;Yes;No;No;Digital Wallet;43,615;Yes;106,816666;-6,2;2657,2;Combination 8
630;630;1;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;46,67;Yes;106,816666;-6,2;6171,1;Combination 2
632;632;2;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;31,785;Yes;106,816666;-6,2;7244,9;Combination 2
642;642;1;Jakarta;Mid End;No;No;No;No;No;Yes;Debit;45,825;Yes;106,816666;-6,2;3312,4;Combination 2
643;643;4;Jakarta;Mid End;No;Yes;No;No;Yes;Yes;Pulsa;63,115;Yes;106,816666;-6,2;5141,5;Combination 7
648;648;31;Jakarta;Mid End;No;No;Yes;Yes;No;No;Pulsa;71,825;Yes;106,816666;-6,2;3812,9;Combination 5
649;649;13;Jakarta;Mid End;Yes;No;No;Yes;Yes;Yes;Pulsa;70,785;Yes;106,816666;-6,2;6775,6;Combination 12
660;660;45;Bandung;Mid End;Yes;No;Yes;No;No;Yes;Credit;81,51;Yes;107,60981;-6,914744;3450,2;Combination 16
665;665;18;Bandung;Mid End;No;No;Yes;Yes;Yes;Yes;Credit;106,6;Yes;107,60981;-6,914744;4297,8;Combination 3
668;668;1;Bandung;Mid End;No;No;No;No;No;Yes;Digital Wallet;71,175;Yes;107,60981;-6,914744;3398,2;Combination 2
674;674;7;Bandung;Mid End;Yes;No;No;Yes;No;No;Pulsa;44,85;Yes;107,60981;-6,914744;4576;Combination 11
676;676;39;Bandung;Mid End;No;No;Yes;No;No;No;Credit;39,13;Yes;107,60981;-6,914744;4037,8;Combination 5
680;680;6;Bandung;Mid End;No;No;No;No;No;No;Debit;57,98;Yes;107,60981;-6,914744;5882,5;Combination 2
687;687;22;Bandung;Mid End;Yes;No;No;No;No;No;Pulsa;70,785;Yes;107,60981;-6,914744;3178,5;Combination 11
690;690;18;Bandung;Mid End;No;Yes;Yes;No;No;No;Credit;43,55;Yes;107,60981;-6,914744;7116,2;Combination 14
694;694;2;Bandung;Mid End;No;No;Yes;No;Yes;Yes;Pulsa;64,025;Yes;107,60981;-6,914744;7507,5;Combination 3
700;700;4;Bandung;Mid End;No;No;No;No;No;No;Digital Wallet;65,52;Yes;107,60981;-6,914744;5718,7;Combination 2
705;705;1;Bandung;Mid End;No;No;No;No;No;No;Digital Wallet;65,13;Yes;107,60981;-6,914744;6211,4;Combination 2
710;710;15;Bandung;Mid End;No;No;No;No;No;No;Pulsa;67,015;Yes;107,60981;-6,914744;2713,1;Combination 2
714;714;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;57,72;Yes;106,816666;-6,2;4165,2;Combination 2
717;717;4;Jakarta;Mid End;No;No;No;No;Yes;Yes;Pulsa;57,915;Yes;106,816666;-6,2;7286,5;Combination 9
718;718;31;Jakarta;Mid End;Yes;No;No;Yes;No;No;Debit;46,02;Yes;106,816666;-6,2;2687,1;Combination 11
721;721;10;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;45,11;Yes;106,816666;-6,2;4217,2;Combination 2
724;724;53;Jakarta;Mid End;Yes;No;No;Yes;No;No;Pulsa;78,065;Yes;106,816666;-6,2;6852,3;Combination 11
727;727;25;Jakarta;Mid End;Yes;Yes;Yes;Yes;Yes;No;Digital Wallet;96,59;Yes;106,816666;-6,2;6727,5;Combination 13
734;734;9;Jakarta;Mid End;No;No;No;No;No;No;Debit;31,33;Yes;106,816666;-6,2;4153,5;Combination 2
739;739;41;Jakarta;Mid End;Yes;Yes;Yes;Yes;No;Yes;Credit;103,87;Yes;106,816666;-6,2;6154,2;Combination 17
752;752;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;58,565;Yes;106,816666;-6,2;3437,2;Combination 2
756;756;22;Jakarta;Mid End;Yes;Yes;No;No;No;No;Pulsa;76,7;Yes;106,816666;-6,2;2853,5;Combination 1
757;757;48;Jakarta;Mid End;Yes;No;Yes;Yes;No;No;Credit;78,455;Yes;106,816666;-6,2;3485,3;Combination 16
767;767;53;Jakarta;Mid End;No;Yes;Yes;No;Yes;Yes;Pulsa;70,785;Yes;106,816666;-6,2;8164;Combination 4
773;773;3;Jakarta;Mid End;No;No;No;Yes;No;No;Digital Wallet;40,3;Yes;106,816666;-6,2;6658,6;Combination 2
778;778;10;Jakarta;Mid End;No;No;No;No;No;Yes;Digital Wallet;44,07;Yes;106,816666;-6,2;3287,7;Combination 2
785;785;3;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;71,89;Yes;106,816666;-6,2;4147;Combination 2
786;786;22;Jakarta;Mid End;No;Yes;No;Yes;No;No;Pulsa;71,695;Yes;106,816666;-6,2;6649,5;Combination 8
788;788;5;Jakarta;Mid End;Yes;Yes;Yes;Yes;No;No;Digital Wallet;56,225;Yes;106,816666;-6,2;7571,2;Combination 17
789;789;23;Jakarta;Mid End;No;No;No;No;No;No;Credit;62,855;Yes;106,816666;-6,2;5954;Combination 2
794;794;46;Jakarta;Mid End;No;Yes;No;No;No;No;Debit;39,39;Yes;106,816666;-6,2;2915,9;Combination 8
795;795;2;Jakarta;Mid End;No;No;Yes;No;No;No;Pulsa;39,52;Yes;106,816666;-6,2;5202,6;Combination 5
796;796;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;59,02;Yes;106,816666;-6,2;2818,4;Combination 2
801;801;17;Jakarta;Mid End;No;No;Yes;No;No;No;Digital Wallet;72,605;Yes;106,816666;-6,2;7113,6;Combination 5
804;804;6;Jakarta;Mid End;Yes;Yes;No;No;No;No;Pulsa;73,125;Yes;106,816666;-6,2;5343;Combination 1
806;806;4;Jakarta;Mid End;No;Yes;No;No;Yes;Yes;Debit;89,245;Yes;106,816666;-6,2;6856,2;Combination 7
810;810;1;Jakarta;Mid End;No;No;No;No;Yes;No;Digital Wallet;69,55;Yes;106,816666;-6,2;6622,2;Combination 9
811;811;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;32,63;Yes;106,816666;-6,2;6199,7;Combination 2
813;813;5;Jakarta;Mid End;Yes;No;No;Yes;No;No;Pulsa;70,46;Yes;106,816666;-6,2;7118,8;Combination 11
818;818;16;Jakarta;Mid End;No;No;No;Yes;Yes;No;Pulsa;77,22;Yes;106,816666;-6,2;7222,8;Combination 9
819;819;29;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;39,78;Yes;106,816666;-6,2;4699,5;Combination 8
822;822;1;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;58,89;Yes;106,816666;-6,2;2980,9;Combination 2
823;823;2;Jakarta;Mid End;No;No;No;Yes;No;No;Debit;38,805;Yes;106,816666;-6,2;5548,4;Combination 2
828;828;9;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;58,435;Yes;106,816666;-6,2;6529,9;Combination 2
829;829;18;Jakarta;Mid End;No;No;Yes;No;No;No;Digital Wallet;64,415;Yes;106,816666;-6,2;3659,5;Combination 5
833;833;3;Jakarta;Mid End;No;No;No;No;Yes;No;Digital Wallet;47,385;Yes;106,816666;-6,2;4895,8;Combination 9
834;834;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;32,565;Yes;106,816666;-6,2;6294,6;Combination 2
835;835;8;Jakarta;Mid End;Yes;No;No;No;No;No;Pulsa;64,805;Yes;106,816666;-6,2;2949,7;Combination 11
836;836;43;Bandung;Mid End;No;Yes;Yes;No;Yes;Yes;Credit;72,215;Yes;107,60981;-6,914744;3344,9;Combination 4
837;837;22;Bandung;Mid End;No;Yes;No;No;Yes;Yes;Debit;90,35;Yes;107,60981;-6,914744;7698,6;Combination 7
840;840;1;Bandung;Mid End;No;No;Yes;No;No;No;Digital Wallet;65,585;Yes;107,60981;-6,914744;3153,8;Combination 5
841;841;7;Bandung;Mid End;No;No;No;Yes;Yes;Yes;Pulsa;97,045;Yes;107,60981;-6,914744;5995,6;Combination 9
846;846;3;Bandung;Mid End;No;No;No;No;Yes;No;Digital Wallet;71,695;Yes;107,60981;-6,914744;7407,4;Combination 9
863;863;10;Jakarta;Mid End;No;No;Yes;No;No;No;Digital Wallet;38,35;Yes;106,816666;-6,2;4936,1;Combination 5
864;864;2;Jakarta;Mid End;Yes;No;No;No;Yes;Yes;Pulsa;91,975;Yes;106,816666;-6,2;4234,1;Combination 12
867;867;38;Jakarta;Mid End;No;Yes;Yes;Yes;Yes;No;Credit;91,195;Yes;106,816666;-6,2;3438,5;Combination 4
869;869;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;60,19;Yes;106,816666;-6,2;3922,1;Combination 2
875;875;1;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;57,395;Yes;106,816666;-6,2;6204,9;Combination 2
876;876;16;Jakarta;Mid End;No;Yes;No;Yes;No;No;Digital Wallet;70,07;Yes;106,816666;-6,2;6618,3;Combination 8
878;878;4;Jakarta;Mid End;No;No;No;No;No;No;Digital Wallet;66,105;Yes;106,816666;-6,2;7001,8;Combination 2
879;879;1;Jakarta;Mid End;No;No;Yes;No;No;Yes;Pulsa;76,96;Yes;106,816666;-6,2;6526;Combination 5
