;index;Customer ID;Tenure Months;Location;Device Class;Games Product;Music Product;Education Product;Call Center;Video Product;Use MyApp;Payment Method;Monthly Purchase (Thou. IDR);Churn Label;Longitude;Latitude;CLTV (Predicted Thou. IDR);Combination;Result;prediction_confidence;prediction;Churn_Risk;customer_priority
19;346;346;4;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,455;Yes;106,816666;-6,2;5372,9;Combination 6;TP;0,565646212;1;Threatening;Moderate
20;351;351;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,195;Yes;106,816666;-6,2;5333,9;Combination 6;TP;0,597846853;1;Threatening;Moderate
21;383;383;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;26,715;Yes;106,816666;-6,2;7326,8;Combination 6;TP;0,63876677;1;Threatening;High
22;394;394;8;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,675;Yes;106,816666;-6,2;2921,1;Combination 6;TP;0,521882636;1;Notable;Low
23;455;455;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,35;Yes;106,816666;-6,2;6774,3;Combination 6;TP;0,597846853;1;Threatening;High
24;463;463;18;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,195;Yes;106,816666;-6,2;6410,3;Combination 6;FN;0,628837944;0;Low;Moderate
25;465;465;4;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,455;Yes;106,816666;-6,2;7779,2;Combination 6;TP;0,565646212;1;Threatening;High
26;479;479;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,065;Yes;107,60981;-6,914744;6123;Combination 6;TP;0,555517074;1;Threatening;Moderate
27;495;495;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;27,3;Yes;107,60981;-6,914744;4878,9;Combination 6;TP;0,63876677;1;Threatening;Moderate
28;504;504;31;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,415;Yes;107,60981;-6,914744;3493,1;Combination 6;FN;0,716551654;0;Low;Low
29;540;540;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,26;Yes;106,816666;-6,2;5622,5;Combination 6;TP;0,597846853;1;Threatening;Moderate
30;552;552;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,195;Yes;106,816666;-6,2;6420,7;Combination 6;TP;0,597846853;1;Threatening;High
31;558;558;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,09;Yes;106,816666;-6,2;4206,8;Combination 6;TP;0,63876677;1;Threatening;Moderate
32;657;657;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,22;Yes;107,60981;-6,914744;5397,6;Combination 6;TP;0,597846853;1;Threatening;Moderate
33;661;661;25;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;32,89;Yes;107,60981;-6,914744;4912,7;Combination 6;FN;0,697653733;0;Low;Low
34;681;681;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,48;Yes;107,60981;-6,914744;5466,5;Combination 6;TP;0,597846853;1;Threatening;Moderate
35;695;695;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,675;Yes;107,60981;-6,914744;3394,3;Combination 6;TP;0,597846853;1;Threatening;Moderate
36;720;720;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;27,235;Yes;106,816666;-6,2;5570,5;Combination 6;TP;0,597846853;1;Threatening;Moderate
37;722;722;15;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,675;Yes;106,816666;-6,2;3156,4;Combination 6;FN;0,59744791;0;Low;Low
38;742;742;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,65;Yes;106,816666;-6,2;4966;Combination 6;TP;0,597846853;1;Threatening;Moderate
39;798;798;3;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,675;Yes;106,816666;-6,2;3441,1;Combination 6;TP;0,618161997;1;Threatening;Moderate
40;814;814;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,285;Yes;106,816666;-6,2;5002,4;Combination 6;TP;0,63876677;1;Threatening;Moderate
41;825;825;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,74;Yes;106,816666;-6,2;7280;Combination 6;TP;0,597846853;1;Threatening;High
42;844;844;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,13;Yes;107,60981;-6,914744;7471,1;Combination 6;TP;0,597846853;1;Threatening;High
43;883;883;11;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,025;Yes;106,816666;-6,2;7329,4;Combination 6;FN;0,511199555;0;Low;High
44;914;914;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;27,17;Yes;107,60981;-6,914744;7185,1;Combination 6;TP;0,597846853;1;Threatening;High
45;921;921;16;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,61;Yes;107,60981;-6,914744;4469,4;Combination 6;FN;0,565977855;0;Low;Moderate
46;949;949;4;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;27,235;Yes;106,816666;-6,2;7568,6;Combination 6;TP;0,522633396;1;Notable;High
47;951;951;9;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,325;Yes;106,816666;-6,2;4369,3;Combination 6;TP;0,51086223;1;Notable;Moderate
48;961;961;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,13;Yes;106,816666;-6,2;6412,9;Combination 6;TP;0,597846853;1;Threatening;High
49;971;971;20;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,22;Yes;106,816666;-6,2;4920,5;Combination 6;FN;0,566716861;0;Low;Moderate
50;975;975;2;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,845;Yes;106,816666;-6,2;4998,5;Combination 6;TP;0,587192399;1;Threatening;Moderate
51;998;998;2;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;25,09;Yes;106,816666;-6,2;2962,7;Combination 6;TP;0,501335754;1;Notable;Low
52;1036;1036;3;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;26,715;Yes;106,816666;-6,2;5349,5;Combination 6;FN;0,509695711;0;Low;Moderate
53;1047;1047;25;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;32,175;Yes;106,816666;-6,2;6410,3;Combination 6;FN;0,732954368;0;Low;Moderate
54;1057;1057;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;31,265;Yes;106,816666;-6,2;4110,6;Combination 6;TP;0,597846853;1;Threatening;Moderate
55;1060;1060;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,65;Yes;106,816666;-6,2;3117,4;Combination 6;TP;0,597846853;1;Threatening;Moderate
56;1070;1070;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,675;Yes;106,816666;-6,2;6306,3;Combination 6;TP;0,597846853;1;Threatening;High
57;1080;1080;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,26;Yes;106,816666;-6,2;6961,5;Combination 6;TP;0,597846853;1;Threatening;High
58;1085;1085;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,325;Yes;106,816666;-6,2;3617,9;Combination 6;TP;0,597846853;1;Threatening;Moderate
59;1094;1094;9;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;24,635;Yes;106,816666;-6,2;7023,9;Combination 6;TP;0,51086223;1;Notable;High
60;1116;1116;3;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,48;Yes;107,60981;-6,914744;6500;Combination 6;TP;0,576455649;1;Threatening;High
61;1121;1121;56;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;32,695;Yes;107,60981;-6,914744;8429,2;Combination 6;FN;0,915112232;0;Low;Low
62;1140;1140;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;24,83;Yes;107,60981;-6,914744;7657;Combination 6;TP;0,597846853;1;Threatening;High
63;1159;1159;3;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,805;Yes;106,816666;-6,2;4417,4;Combination 6;TP;0,576455649;1;Threatening;Moderate
64;1171;1171;15;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;33,02;Yes;106,816666;-6,2;3708,9;Combination 6;FN;0,638383868;0;Low;Low
65;1173;1173;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;27,17;Yes;106,816666;-6,2;7047,3;Combination 6;TP;0,597846853;1;Threatening;High
66;1185;1185;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,935;Yes;106,816666;-6,2;6318;Combination 6;TP;0,555517074;1;Threatening;High
67;1201;1201;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26;Yes;106,816666;-6,2;4754,1;Combination 6;TP;0,597846853;1;Threatening;Moderate
68;1211;1211;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,285;Yes;106,816666;-6,2;3724,5;Combination 6;TP;0,597846853;1;Threatening;Moderate
69;1218;1218;2;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,35;Yes;106,816666;-6,2;3229,2;Combination 6;TP;0,587192399;1;Threatening;Moderate
70;1235;1235;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,325;Yes;106,816666;-6,2;3846,7;Combination 6;TP;0,597846853;1;Threatening;Moderate
71;1243;1243;11;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;30,095;Yes;106,816666;-6,2;7372,3;Combination 6;FN;0,596724021;0;Low;Moderate
72;1254;1254;53;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;27,04;Yes;106,816666;-6,2;5415,8;Combination 6;FN;0,888132972;0;Low;Low
73;1261;1261;53;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,675;Yes;106,816666;-6,2;8144,5;Combination 6;FN;0,888132972;0;Low;Low
74;1290;1290;3;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,74;Yes;107,60981;-6,914744;5619,9;Combination 6;TP;0,576455649;1;Threatening;Moderate
75;1299;1299;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;26,195;Yes;106,816666;-6,2;5560,1;Combination 6;TP;0,512365919;1;Notable;Moderate
76;1317;1317;5;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;25,805;Yes;106,816666;-6,2;4938,7;Combination 6;FN;0,531719639;0;Low;Moderate
77;1325;1325;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,26;Yes;106,816666;-6,2;3979,3;Combination 6;TP;0,555517074;1;Threatening;Moderate
78;1334;1334;45;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;26,52;Yes;106,816666;-6,2;7017,4;Combination 6;FN;0,797660614;0;Low;Low
79;1338;1338;11;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;26,13;Yes;106,816666;-6,2;5850;Combination 6;FN;0,596724021;0;Low;Moderate
80;1342;1342;7;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,065;Yes;106,816666;-6,2;7273,5;Combination 6;TP;0,532881781;1;Notable;High
81;1366;1366;8;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,195;Yes;107,60981;-6,914744;6220,5;Combination 6;FN;0,521468654;0;Low;Moderate
82;1390;1390;6;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,35;Yes;106,816666;-6,2;7252,7;Combination 6;TP;0,500583506;1;Notable;High
83;1394;1394;15;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;26;Yes;106,816666;-6,2;6073,6;Combination 6;FN;0,511951403;0;Low;Moderate
84;1414;1414;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,87;Yes;106,816666;-6,2;7073,3;Combination 6;TP;0,597846853;1;Threatening;High
85;1430;1430;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,545;Yes;106,816666;-6,2;7432,1;Combination 6;TP;0,597846853;1;Threatening;High
86;1456;1456;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,715;Yes;106,816666;-6,2;4936,1;Combination 6;TP;0,597846853;1;Threatening;Moderate
87;1471;1471;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,09;Yes;106,816666;-6,2;5545,8;Combination 6;TP;0,597846853;1;Threatening;Moderate
88;1482;1482;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,26;Yes;106,816666;-6,2;7012,2;Combination 6;TP;0,555517074;1;Threatening;High
89;1486;1486;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,065;Yes;106,816666;-6,2;4538,3;Combination 6;TP;0,597846853;1;Threatening;Moderate
90;1488;1488;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,87;Yes;106,816666;-6,2;6022,9;Combination 6;TP;0,63876677;1;Threatening;High
91;1490;1490;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,935;Yes;106,816666;-6,2;2666,3;Combination 6;TP;0,63876677;1;Threatening;Moderate
92;1494;1494;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,025;Yes;106,816666;-6,2;7068,1;Combination 6;TP;0,597846853;1;Threatening;High
93;1499;1499;17;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;31,33;Yes;106,816666;-6,2;6042,4;Combination 6;FN;0,576785213;0;Low;Moderate
94;1502;1502;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;27,105;Yes;106,816666;-6,2;4962,1;Combination 6;TP;0,597846853;1;Threatening;Moderate
95;1518;1518;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,78;Yes;106,816666;-6,2;4703,4;Combination 6;TP;0,597846853;1;Threatening;Moderate
96;1532;1532;2;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,48;Yes;106,816666;-6,2;3695,9;Combination 6;TP;0,628522807;1;Threatening;Moderate
97;1548;1548;5;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;33,67;Yes;107,60981;-6,914744;2732,6;Combination 6;TP;0,511614101;1;Notable;Low
98;1562;1562;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,26;Yes;107,60981;-6,914744;7043,4;Combination 6;TP;0,597846853;1;Threatening;High
99;1573;1573;33;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;31,85;Yes;107,60981;-6,914744;6752,2;Combination 6;FN;0,734130634;0;Low;Moderate
100;1624;1624;5;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,155;Yes;106,816666;-6,2;5023,2;Combination 6;TP;0,554773974;1;Threatening;Moderate
101;1625;1625;3;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,805;Yes;106,816666;-6,2;2805,4;Combination 6;TP;0,576455649;1;Threatening;Moderate
102;1658;1658;2;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,455;Yes;106,816666;-6,2;7315,1;Combination 6;TP;0,587192399;1;Threatening;High
103;1663;1663;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,61;Yes;106,816666;-6,2;7419,1;Combination 6;TP;0,597846853;1;Threatening;High
104;1670;1670;30;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,545;Yes;106,816666;-6,2;3231,8;Combination 6;FN;0,742079242;0;Low;Low
105;1680;1680;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,39;Yes;106,816666;-6,2;4979;Combination 6;TP;0,597846853;1;Threatening;Moderate
106;1689;1689;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,52;Yes;106,816666;-6,2;4761,9;Combination 6;TP;0,597846853;1;Threatening;Moderate
107;1710;1710;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;24,505;Yes;106,816666;-6,2;5371,6;Combination 6;TP;0,597846853;1;Threatening;Moderate
108;1738;1738;16;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,325;Yes;107,60981;-6,914744;5625,1;Combination 6;FN;0,608014369;0;Low;Moderate
109;1751;1751;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,13;Yes;106,816666;-6,2;5705,7;Combination 6;TP;0,597846853;1;Threatening;Moderate
110;1792;1792;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,26;Yes;107,60981;-6,914744;5456,1;Combination 6;TP;0,597846853;1;Threatening;Moderate
111;1794;1794;56;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;32,37;Yes;107,60981;-6,914744;6925,1;Combination 6;FN;0,864967318;0;Low;Low
112;1847;1847;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,65;Yes;106,816666;-6,2;4850,3;Combination 6;TP;0,597846853;1;Threatening;Moderate
113;1876;1876;16;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;24,635;No;106,816666;-6,2;6143,8;Combination 6;TN;0,648507973;0;Low;Moderate
114;1880;1880;52;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,845;No;106,816666;-6,2;6741,8;Combination 6;TN;0,864615484;0;Low;Low
115;1883;1883;12;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,74;No;106,816666;-6,2;6862,7;Combination 6;TN;0,565238556;0;Low;Moderate
116;1891;1891;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,26;No;106,816666;-6,2;7183,8;Combination 6;FP;0,555517074;1;Threatening;High
117;1897;1897;17;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,975;No;106,816666;-6,2;4739,8;Combination 6;TN;0,576785213;0;Low;Moderate
118;1909;1909;34;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;32,435;No;106,816666;-6,2;7030,4;Combination 6;TN;0,803267132;0;Low;Low
119;1918;1918;50;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,195;No;106,816666;-6,2;7603,7;Combination 6;TN;0,874288229;0;Low;Low
120;1921;1921;52;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;26,52;No;106,816666;-6,2;7126,6;Combination 6;TN;0,84299084;0;Low;Low
121;1923;1923;62;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;31,525;No;106,816666;-6,2;5777,2;Combination 6;TN;0,921938906;0;Least Concern;Low
122;1929;1929;45;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;33,67;No;106,816666;-6,2;7463,3;Combination 6;TN;0,869015118;0;Low;Low
123;1932;1932;49;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,195;No;106,816666;-6,2;7048,6;Combination 6;TN;0,869357246;0;Low;Low
124;1935;1935;48;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26,845;No;106,816666;-6,2;5361,2;Combination 6;TN;0,864262877;0;Low;Low
125;1936;1936;46;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,935;No;106,816666;-6,2;7124;Combination 6;TN;0,830529062;0;Low;Low
126;1944;1944;52;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;27,3;No;106,816666;-6,2;5405,4;Combination 6;TN;0,883672787;0;Low;Low
127;1945;1945;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,26;No;106,816666;-6,2;3523;Combination 6;FP;0,597846853;1;Threatening;Moderate
128;1946;1946;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,285;No;106,816666;-6,2;7295,6;Combination 6;FP;0,63876677;1;Threatening;High
129;1953;1953;72;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;25,22;No;106,816666;-6,2;6804,2;Combination 6;TN;0,956219898;0;Least Concern;Low
130;1959;1959;41;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,845;No;106,816666;-6,2;7693,4;Combination 6;TN;0,797174531;0;Low;Low
131;1962;1962;6;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,91;No;106,816666;-6,2;6949,8;Combination 6;FP;0,543849055;1;Threatening;High
132;1964;1964;4;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;27,105;No;106,816666;-6,2;4123,6;Combination 6;FP;0,565646212;1;Threatening;Moderate
133;1966;1966;72;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;30,615;No;106,816666;-6,2;7671,3;Combination 6;TN;0,948352993;0;Least Concern;Low
134;1967;1967;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,675;No;106,816666;-6,2;3229,2;Combination 6;FP;0,597846853;1;Threatening;Moderate
135;1971;1971;43;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Credit;33,41;No;106,816666;-6,2;2622,1;Combination 6;TN;0,858637236;0;Low;Low
