;Customer ID;Tenure Months;Location;Device Class;Games Product;Music Product;Education Product;Call Center;Video Product;Use MyApp;Payment Method;Monthly Purchase (Thou. IDR);Churn Label;Longitude;Latitude;CLTV (Predicted Thou. IDR);Combination
21;21;12;Jakarta;High End;Yes;No;No;No;No;No;Pulsa;102,635;Yes;106,816666;-6,2;7547,8;Combination 11
23;23;25;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;128,05;Yes;106,816666;-6,2;6938,1;Combination 4
24;24;68;Jakarta;High End;No;Yes;Yes;Yes;Yes;Yes;Debit;143;Yes;106,816666;-6,2;6544,2;Combination 4
25;25;55;Jakarta;High End;Yes;Yes;No;No;Yes;No;Pulsa;125,775;Yes;106,816666;-6,2;6700,2;Combination 10
26;26;37;Jakarta;High End;No;No;No;No;No;No;Pulsa;99,45;Yes;106,816666;-6,2;3630,9;Combination 2
27;27;10;Jakarta;High End;Yes;No;No;No;Yes;Yes;Pulsa;130,325;Yes;106,816666;-6,2;7797,4;Combination 12
28;28;3;Jakarta;High End;No;No;No;No;No;No;Pulsa;96,72;Yes;106,816666;-6,2;5739,5;Combination 2
29;29;27;Jakarta;High End;No;No;Yes;No;No;No;Pulsa;101,465;Yes;106,816666;-6,2;6029,4;Combination 5
33;33;1;Jakarta;High End;No;No;No;No;No;No;Digital Wallet;91,585;Yes;106,816666;-6,2;5153,2;Combination 2
36;36;7;Jakarta;High End;No;No;No;No;Yes;Yes;Digital Wallet;123,5;Yes;106,816666;-6,2;3621,8;Combination 9
37;37;20;Bandung;High End;Yes;No;No;No;No;No;Pulsa;107,12;Yes;107,60981;-6,914744;7434,7;Combination 11
38;38;4;Bandung;High End;No;No;No;No;No;No;Debit;92,17;Yes;107,60981;-6,914744;5573,1;Combination 2
40;40;2;Bandung;High End;No;No;Yes;Yes;Yes;Yes;Pulsa;135,72;Yes;107,60981;-6,914744;6097;Combination 3
41;41;53;Bandung;High End;No;No;Yes;No;Yes;Yes;Debit;123,305;Yes;107,60981;-6,914744;5626,4;Combination 3
42;42;15;Bandung;High End;No;No;No;No;No;No;Digital Wallet;96,785;Yes;107,60981;-6,914744;7432,1;Combination 2
43;43;7;Bandung;High End;Yes;No;No;No;No;No;Debit;99,385;Yes;107,60981;-6,914744;5744,7;Combination 11
45;45;8;Bandung;High End;No;No;No;No;No;Yes;Debit;109,85;Yes;107,60981;-6,914744;2797,6;Combination 2
46;46;13;Bandung;High End;No;Yes;Yes;No;No;No;Pulsa;103,025;Yes;107,60981;-6,914744;6684,6;Combination 14
48;48;6;Bandung;High End;No;Yes;Yes;No;No;Yes;Pulsa;118,3;Yes;107,60981;-6,914744;2967,9;Combination 14
49;49;1;Bandung;High End;No;No;No;No;No;Yes;Pulsa;103,87;Yes;107,60981;-6,914744;4412,2;Combination 2
50;50;19;Bandung;High End;Yes;No;Yes;Yes;Yes;Yes;Pulsa;138,58;Yes;107,60981;-6,914744;4893,2;Combination 15
52;52;4;Bandung;High End;No;No;No;No;No;No;Pulsa;91,195;Yes;107,60981;-6,914744;2895,1;Combination 2
55;55;1;Bandung;High End;Yes;No;No;No;No;Yes;Digital Wallet;109,98;Yes;107,60981;-6,914744;3229,2;Combination 11
57;57;11;Bandung;High End;No;Yes;No;No;Yes;Yes;Pulsa;123,5;Yes;107,60981;-6,914744;7774;Combination 7
58;58;15;Bandung;High End;No;Yes;No;No;No;No;Pulsa;96,72;Yes;107,60981;-6,914744;6000,8;Combination 8
60;60;2;Bandung;High End;No;No;No;No;No;No;Pulsa;91,52;Yes;107,60981;-6,914744;7393,1;Combination 2
64;64;13;Bandung;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;138,97;Yes;107,60981;-6,914744;3242,2;Combination 4
66;66;16;Bandung;High End;No;No;No;Yes;Yes;Yes;Pulsa;122,785;Yes;107,60981;-6,914744;4953;Combination 9
68;68;1;Bandung;High End;No;No;No;No;No;No;Digital Wallet;91,78;Yes;107,60981;-6,914744;4339,4;Combination 2
69;69;5;Bandung;High End;No;Yes;No;Yes;No;No;Pulsa;111,02;Yes;107,60981;-6,914744;4778,8;Combination 8
70;70;52;Bandung;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;136,565;Yes;107,60981;-6,914744;6290,7;Combination 4
71;71;18;Bandung;High End;No;No;Yes;No;Yes;Yes;Digital Wallet;123,695;Yes;107,60981;-6,914744;6035,9;Combination 3
72;72;1;Bandung;High End;No;No;No;No;No;No;Pulsa;91;Yes;107,60981;-6,914744;5322,2;Combination 2
73;73;8;Bandung;High End;No;Yes;No;No;No;No;Pulsa;96,85;Yes;107,60981;-6,914744;5648,5;Combination 8
75;75;24;Bandung;High End;No;No;No;No;No;No;Pulsa;98,93;Yes;107,60981;-6,914744;2623,4;Combination 2
76;76;1;Bandung;High End;Yes;No;No;No;No;No;Digital Wallet;95,68;Yes;107,60981;-6,914744;3334,5;Combination 11
77;77;4;Bandung;High End;No;No;No;No;Yes;Yes;Pulsa;124,085;Yes;107,60981;-6,914744;4780,1;Combination 9
78;78;32;Bandung;High End;No;No;No;No;No;No;Pulsa;97,37;Yes;107,60981;-6,914744;5336,5;Combination 2
79;79;5;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;104,78;Yes;106,816666;-6,2;7429,5;Combination 9
81;81;24;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;121,095;Yes;106,816666;-6,2;2875,6;Combination 3
83;83;2;Jakarta;High End;No;No;No;No;No;No;Pulsa;91,455;Yes;106,816666;-6,2;3472,3;Combination 2
84;84;7;Jakarta;High End;No;No;No;No;No;No;Pulsa;96,005;Yes;106,816666;-6,2;3214,9;Combination 2
85;85;2;Jakarta;High End;No;No;Yes;No;No;No;Digital Wallet;104,78;Yes;106,816666;-6,2;3487,9;Combination 5
87;87;43;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;135,98;Yes;106,816666;-6,2;6825;Combination 4
88;88;63;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;134,42;Yes;106,816666;-6,2;5657,6;Combination 4
89;89;2;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;117,52;Yes;106,816666;-6,2;5404,1;Combination 9
90;90;4;Jakarta;High End;No;Yes;Yes;No;No;No;Debit;110,24;Yes;106,816666;-6,2;6420,7;Combination 14
92;92;10;Jakarta;High End;No;No;No;No;No;Yes;Debit;104,325;Yes;106,816666;-6,2;4677,4;Combination 2
94;94;5;Jakarta;High End;No;No;Yes;No;Yes;Yes;Debit;125,45;Yes;106,816666;-6,2;6997,9;Combination 3
95;95;2;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;111,345;Yes;106,816666;-6,2;5041,4;Combination 9
96;96;25;Jakarta;High End;No;No;Yes;Yes;Yes;Yes;Debit;136,435;Yes;106,816666;-6,2;4734,6;Combination 3
98;98;1;Jakarta;High End;No;Yes;No;No;No;Yes;Credit;118,105;Yes;106,816666;-6,2;4451,2;Combination 8
100;100;55;Jakarta;High End;No;Yes;Yes;No;No;No;Pulsa;111,085;Yes;106,816666;-6,2;7152,6;Combination 14
101;101;34;Jakarta;High End;No;Yes;No;No;No;No;Credit;96,135;Yes;106,816666;-6,2;7533,5;Combination 8
102;102;69;Jakarta;High End;No;No;Yes;No;Yes;Yes;Credit;129,285;Yes;106,816666;-6,2;5226;Combination 3
105;105;3;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;105,755;Yes;106,816666;-6,2;3663,4;Combination 8
106;106;22;Jakarta;High End;No;Yes;No;No;No;Yes;Pulsa;108,29;Yes;106,816666;-6,2;4945,2;Combination 8
107;107;1;Jakarta;High End;No;No;Yes;No;No;No;Debit;97,89;Yes;106,816666;-6,2;6372,6;Combination 5
110;110;60;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;137,67;Yes;106,816666;-6,2;5336,5;Combination 4
111;111;1;Jakarta;High End;No;No;No;No;No;No;Digital Wallet;90,415;Yes;106,816666;-6,2;3629,6;Combination 2
112;112;28;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;105,365;Yes;106,816666;-6,2;6761,3;Combination 2
113;113;4;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;131,495;Yes;106,816666;-6,2;5742,1;Combination 3
114;114;7;Jakarta;High End;No;Yes;No;No;Yes;Yes;Pulsa;129,74;Yes;106,816666;-6,2;2640,3;Combination 7
117;117;1;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;97,11;Yes;106,816666;-6,2;7774;Combination 8
118;118;24;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;104,325;Yes;106,816666;-6,2;5743,4;Combination 8
119;119;5;Jakarta;High End;No;No;No;Yes;Yes;Yes;Pulsa;124,93;Yes;106,816666;-6,2;5449,6;Combination 9
120;120;15;Jakarta;High End;No;No;No;No;No;No;Debit;89,7;Yes;106,816666;-6,2;7372,3;Combination 2
122;122;8;Jakarta;High End;No;Yes;No;No;Yes;No;Pulsa;108,615;Yes;106,816666;-6,2;3742,7;Combination 7
123;123;1;Jakarta;High End;No;No;No;No;No;No;Pulsa;96,655;Yes;106,816666;-6,2;3658,2;Combination 2
124;124;2;Jakarta;High End;Yes;No;No;No;No;No;Pulsa;96,72;Yes;106,816666;-6,2;5541,9;Combination 11
127;127;12;Jakarta;High End;Yes;Yes;Yes;No;No;Yes;Debit;129,61;Yes;106,816666;-6,2;3299,4;Combination 17
128;128;20;Jakarta;High End;No;Yes;Yes;No;No;Yes;Pulsa;122,33;Yes;106,816666;-6,2;3465,8;Combination 14
129;129;2;Jakarta;High End;No;No;No;Yes;Yes;Yes;Pulsa;122,46;Yes;106,816666;-6,2;4829,5;Combination 9
130;130;6;Jakarta;High End;No;No;No;Yes;No;No;Pulsa;104,65;Yes;106,816666;-6,2;6541,6;Combination 2
131;131;5;Jakarta;High End;No;No;No;No;No;No;Pulsa;96,655;Yes;106,816666;-6,2;6854,9;Combination 2
132;132;40;Jakarta;High End;No;No;Yes;Yes;Yes;Yes;Debit;136,24;Yes;106,816666;-6,2;4539,6;Combination 3
133;133;27;Jakarta;High End;Yes;No;No;No;No;No;Debit;97,76;Yes;106,816666;-6,2;5872,1;Combination 11
134;134;23;Jakarta;High End;No;No;No;No;No;No;Debit;98,28;Yes;106,816666;-6,2;2749,5;Combination 2
135;135;34;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;130,065;Yes;106,816666;-6,2;3338,4;Combination 3
136;136;1;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;110,5;Yes;106,816666;-6,2;7382,7;Combination 2
137;137;10;Jakarta;High End;No;No;No;No;Yes;No;Debit;111,865;Yes;106,816666;-6,2;3855,8;Combination 9
139;139;39;Jakarta;High End;No;Yes;No;No;Yes;No;Digital Wallet;112,19;Yes;106,816666;-6,2;4373,2;Combination 7
140;140;32;Jakarta;High End;No;Yes;No;No;No;No;Debit;104,455;Yes;106,816666;-6,2;7766,2;Combination 8
141;141;35;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;130,325;Yes;106,816666;-6,2;3567,2;Combination 3
142;142;56;Jakarta;High End;No;Yes;No;No;Yes;Yes;Credit;130,39;Yes;106,816666;-6,2;6721;Combination 7
144;144;1;Jakarta;High End;Yes;No;No;No;No;No;Digital Wallet;97,89;Yes;106,816666;-6,2;4217,2;Combination 11
145;145;4;Jakarta;High End;No;No;Yes;No;Yes;No;Pulsa;115,96;Yes;106,816666;-6,2;7550,4;Combination 3
146;146;1;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;111,41;Yes;106,816666;-6,2;6344;Combination 9
148;148;65;Jakarta;High End;Yes;No;Yes;No;Yes;Yes;Debit;136,825;Yes;106,816666;-6,2;5454,8;Combination 15
152;152;49;Jakarta;High End;No;Yes;No;No;No;Yes;Credit;117,065;Yes;106,816666;-6,2;6576,7;Combination 8
153;153;43;Jakarta;High End;No;Yes;Yes;Yes;Yes;Yes;Debit;143,975;Yes;106,816666;-6,2;3546,4;Combination 4
154;154;65;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;137,15;Yes;106,816666;-6,2;7436;Combination 4
155;155;56;Jakarta;High End;Yes;No;Yes;No;Yes;Yes;Debit;135,915;Yes;106,816666;-6,2;8148,4;Combination 15
156;156;10;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;110,825;Yes;106,816666;-6,2;4644,9;Combination 2
158;158;1;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;116,415;Yes;106,816666;-6,2;6494,8;Combination 9
159;159;20;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;122,915;Yes;106,816666;-6,2;7285,2;Combination 9
161;161;2;Jakarta;High End;No;Yes;No;No;No;Yes;Pulsa;116,35;Yes;106,816666;-6,2;2684,5;Combination 8
162;162;3;Jakarta;High End;No;No;No;No;No;No;Debit;90,415;Yes;106,816666;-6,2;3738,8;Combination 2
163;163;1;Jakarta;High End;No;No;Yes;No;No;No;Digital Wallet;96,98;Yes;106,816666;-6,2;5018;Combination 5
167;167;2;Jakarta;High End;No;No;No;No;No;No;Pulsa;90,545;Yes;106,816666;-6,2;3019,9;Combination 2
169;169;1;Jakarta;High End;No;No;No;No;No;No;Digital Wallet;97,565;Yes;106,816666;-6,2;6289,4;Combination 2
172;172;1;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;104;Yes;106,816666;-6,2;2659,8;Combination 2
174;174;3;Jakarta;High End;No;No;No;No;No;No;Credit;97,63;Yes;106,816666;-6,2;6454,5;Combination 2
176;176;25;Jakarta;High End;Yes;Yes;No;No;No;No;Debit;103,805;Yes;106,816666;-6,2;5895,5;Combination 1
178;178;4;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;111,735;Yes;106,816666;-6,2;7332;Combination 2
180;180;33;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;122,85;Yes;106,816666;-6,2;5632,9;Combination 9
181;181;30;Jakarta;High End;Yes;Yes;Yes;No;No;No;Credit;119,21;Yes;106,816666;-6,2;3226,6;Combination 17
182;182;45;Jakarta;High End;No;No;Yes;Yes;No;No;Pulsa;113,425;Yes;106,816666;-6,2;6849,7;Combination 5
183;183;10;Jakarta;High End;Yes;No;No;No;Yes;Yes;Pulsa;128,115;Yes;106,816666;-6,2;4755,4;Combination 12
184;184;20;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;128,115;Yes;106,816666;-6,2;7077,2;Combination 3
185;185;15;Jakarta;High End;No;Yes;No;No;No;Yes;Debit;111,67;Yes;106,816666;-6,2;4652,7;Combination 8
186;186;22;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;116,025;Yes;106,816666;-6,2;4109,3;Combination 9
187;187;3;Jakarta;High End;No;No;No;No;No;No;Pulsa;91,39;Yes;106,816666;-6,2;3949,4;Combination 2
188;188;15;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;121,355;Yes;106,816666;-6,2;6843,2;Combination 9
190;190;5;Jakarta;High End;Yes;No;Yes;No;No;Yes;Digital Wallet;115,57;Yes;106,816666;-6,2;5662,8;Combination 16
191;191;33;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;124,54;Yes;106,816666;-6,2;5409,3;Combination 3
192;192;2;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;106,6;Yes;106,816666;-6,2;3966,3;Combination 8
195;195;46;Jakarta;High End;Yes;Yes;Yes;No;Yes;Yes;Pulsa;143;Yes;106,816666;-6,2;3123,9;Combination 13
196;196;62;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;125,775;Yes;106,816666;-6,2;6520,8;Combination 3
197;197;10;Jakarta;High End;No;No;No;Yes;Yes;Yes;Pulsa;128,05;Yes;106,816666;-6,2;6739,2;Combination 9
198;198;6;Jakarta;High End;No;Yes;No;No;Yes;No;Pulsa;110,955;Yes;106,816666;-6,2;6102,2;Combination 7
199;199;40;Jakarta;High End;No;Yes;No;No;Yes;Yes;Pulsa;131,69;Yes;106,816666;-6,2;3348,8;Combination 7
200;200;1;Jakarta;High End;No;No;No;No;No;No;Pulsa;90,415;Yes;106,816666;-6,2;3954,6;Combination 2
201;201;58;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Debit;134,225;Yes;106,816666;-6,2;7936,5;Combination 4
202;202;70;Jakarta;High End;Yes;No;No;Yes;Yes;Yes;Credit;135,2;Yes;106,816666;-6,2;5907,2;Combination 12
203;203;2;Jakarta;High End;No;No;Yes;No;No;Yes;Digital Wallet;112,06;Yes;106,816666;-6,2;3859,7;Combination 5
204;204;21;Jakarta;High End;No;Yes;Yes;Yes;Yes;Yes;Pulsa;144,56;Yes;106,816666;-6,2;5359,9;Combination 4
205;205;16;Jakarta;High End;No;Yes;Yes;No;Yes;No;Credit;116,285;Yes;106,816666;-6,2;4804,8;Combination 4
206;206;7;Jakarta;High End;No;No;No;No;Yes;Yes;Debit;124,28;Yes;106,816666;-6,2;4244,5;Combination 9
207;207;60;Jakarta;High End;No;Yes;Yes;No;Yes;No;Pulsa;118,235;Yes;106,816666;-6,2;5344,3;Combination 4
208;208;50;Jakarta;High End;Yes;Yes;No;Yes;Yes;Yes;Pulsa;141,115;Yes;106,816666;-6,2;5556,2;Combination 10
209;209;4;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;102,505;Yes;106,816666;-6,2;6891,3;Combination 9
211;211;55;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;130;Yes;106,816666;-6,2;7382,7;Combination 3
213;213;1;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;116,87;Yes;106,816666;-6,2;7736,3;Combination 9
214;214;62;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;130,195;Yes;106,816666;-6,2;7280;Combination 3
216;216;20;Jakarta;High End;No;Yes;No;No;No;No;Pulsa;95,745;Yes;106,816666;-6,2;7603,7;Combination 8
217;217;3;Jakarta;High End;No;Yes;No;No;Yes;Yes;Pulsa;123,63;Yes;106,816666;-6,2;7619,3;Combination 7
218;218;22;Jakarta;High End;No;No;No;No;Yes;Yes;Credit;123,045;Yes;106,816666;-6,2;4764,5;Combination 9
219;219;4;Jakarta;High End;No;No;Yes;Yes;No;No;Digital Wallet;104,78;Yes;106,816666;-6,2;4004;Combination 5
220;220;59;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;111,215;Yes;106,816666;-6,2;8195,2;Combination 2
222;222;15;Bandung;High End;Yes;No;Yes;Yes;Yes;Yes;Pulsa;136,63;Yes;107,60981;-6,914744;2758,6;Combination 15
223;223;10;Bandung;High End;Yes;Yes;Yes;Yes;Yes;Yes;Pulsa;143,13;Yes;107,60981;-6,914744;7543,9;Combination 13
224;224;6;Bandung;High End;No;No;Yes;No;No;Yes;Pulsa;109,07;Yes;107,60981;-6,914744;5150,6;Combination 5
225;225;63;Bandung;High End;Yes;Yes;Yes;No;Yes;No;Pulsa;130,715;Yes;107,60981;-6,914744;7036,9;Combination 13
226;226;50;Bandung;High End;No;Yes;Yes;No;Yes;Yes;Debit;135,005;Yes;107,60981;-6,914744;7555,6;Combination 4
228;228;12;Bandung;High End;Yes;No;No;Yes;Yes;Yes;Debit;128,57;Yes;107,60981;-6,914744;7226,7;Combination 12
229;229;9;Bandung;High End;No;No;Yes;No;Yes;Yes;Credit;127,79;Yes;107,60981;-6,914744;3840,2;Combination 3
230;230;17;Bandung;High End;Yes;No;No;No;Yes;Yes;Pulsa;122,005;Yes;107,60981;-6,914744;6422;Combination 12
231;231;9;Bandung;High End;No;No;Yes;No;Yes;Yes;Pulsa;130,65;Yes;107,60981;-6,914744;5249,4;Combination 3
232;232;10;Bandung;High End;No;Yes;No;No;No;No;Pulsa;94,705;Yes;107,60981;-6,914744;4145,7;Combination 8
233;233;1;Bandung;High End;No;No;No;No;No;No;Pulsa;95,615;Yes;107,60981;-6,914744;5679,7;Combination 2
234;234;3;Bandung;High End;No;Yes;No;No;No;No;Pulsa;103,22;Yes;107,60981;-6,914744;4551,3;Combination 8
235;235;13;Bandung;High End;No;Yes;Yes;No;No;No;Pulsa;105,495;Yes;107,60981;-6,914744;6247,8;Combination 14
236;236;4;Bandung;High End;No;No;No;No;No;Yes;Pulsa;109,98;Yes;107,60981;-6,914744;3207,1;Combination 2
237;237;6;Bandung;High End;Yes;No;No;No;No;No;Pulsa;102,765;Yes;107,60981;-6,914744;4241,9;Combination 11
238;238;3;Bandung;High End;No;No;No;No;No;No;Debit;96,72;Yes;107,60981;-6,914744;2670,2;Combination 2
239;239;35;Bandung;High End;No;No;Yes;No;Yes;Yes;Pulsa;128,765;Yes;107,60981;-6,914744;2696,2;Combination 3
243;243;8;Bandung;High End;Yes;No;No;Yes;Yes;Yes;Credit;130,39;Yes;107,60981;-6,914744;6609,2;Combination 12
245;245;2;Bandung;High End;No;No;No;No;Yes;Yes;Pulsa;124,8;Yes;107,60981;-6,914744;4408,3;Combination 9
246;246;1;Bandung;High End;No;No;No;No;Yes;Yes;Pulsa;117,715;Yes;107,60981;-6,914744;3415,1;Combination 9
248;248;71;Bandung;High End;Yes;No;Yes;Yes;Yes;Yes;Pulsa;140,465;Yes;107,60981;-6,914744;6760;Combination 15
249;249;1;Bandung;High End;No;No;No;No;No;No;Pulsa;90,87;Yes;107,60981;-6,914744;6977,1;Combination 2
250;250;62;Bandung;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;134,875;Yes;107,60981;-6,914744;6567,6;Combination 4
251;251;1;Bandung;High End;No;No;No;No;No;Yes;Pulsa;112,58;Yes;107,60981;-6,914744;6796,4;Combination 2
252;252;33;Bandung;High End;No;Yes;No;No;No;No;Debit;104,78;Yes;107,60981;-6,914744;4681,3;Combination 8
253;253;35;Bandung;High End;No;Yes;No;Yes;No;No;Credit;110,89;Yes;107,60981;-6,914744;3191,5;Combination 8
254;254;34;Bandung;High End;No;No;No;No;No;No;Credit;91;Yes;107,60981;-6,914744;3013,4;Combination 2
255;255;4;Bandung;High End;No;No;No;No;Yes;Yes;Pulsa;122,59;Yes;107,60981;-6,914744;7044,7;Combination 9
256;256;7;Bandung;High End;No;No;Yes;No;Yes;Yes;Pulsa;123,955;Yes;107,60981;-6,914744;4000,1;Combination 3
257;257;27;Bandung;High End;No;No;No;No;No;No;Pulsa;98,15;Yes;107,60981;-6,914744;3090,1;Combination 2
258;258;18;Bandung;High End;No;No;No;Yes;No;Yes;Pulsa;117,13;Yes;107,60981;-6,914744;5538;Combination 2
259;259;2;Bandung;High End;No;No;No;No;No;No;Pulsa;89,635;Yes;107,60981;-6,914744;6792,5;Combination 2
260;260;32;Bandung;High End;Yes;No;No;No;Yes;Yes;Credit;129,415;Yes;107,60981;-6,914744;6533,8;Combination 12
263;263;8;Bandung;High End;No;No;Yes;No;Yes;Yes;Pulsa;130,78;Yes;107,60981;-6,914744;7677,8;Combination 3
264;264;26;Bandung;High End;No;No;No;No;Yes;No;Pulsa;108,875;Yes;107,60981;-6,914744;3125,2;Combination 9
265;265;3;Bandung;High End;Yes;No;No;Yes;Yes;No;Digital Wallet;114,79;Yes;107,60981;-6,914744;5831,8;Combination 12
266;266;8;Bandung;High End;No;No;Yes;No;Yes;Yes;Pulsa;119,73;Yes;107,60981;-6,914744;7360,6;Combination 3
267;267;38;Bandung;High End;Yes;Yes;No;No;No;No;Pulsa;103,285;Yes;107,60981;-6,914744;3126,5;Combination 1
268;268;14;Bandung;High End;No;No;No;No;Yes;Yes;Credit;117,585;Yes;107,60981;-6,914744;6210,1;Combination 9
269;269;32;Bandung;High End;No;No;No;No;No;No;Debit;90,675;Yes;107,60981;-6,914744;3062,8;Combination 2
273;273;40;Bandung;High End;No;No;No;No;Yes;Yes;Debit;126,23;Yes;107,60981;-6,914744;4028,7;Combination 9
274;274;5;Bandung;High End;No;No;No;No;No;Yes;Pulsa;104;Yes;107,60981;-6,914744;5118,1;Combination 2
275;275;10;Bandung;High End;Yes;No;No;No;Yes;No;Digital Wallet;110,11;Yes;107,60981;-6,914744;7391,8;Combination 12
276;276;2;Bandung;High End;No;No;No;No;Yes;Yes;Debit;116,415;Yes;107,60981;-6,914744;5006,3;Combination 9
277;277;23;Bandung;High End;No;No;No;Yes;Yes;No;Pulsa;117,78;Yes;107,60981;-6,914744;5666,7;Combination 9
278;278;23;Bandung;High End;Yes;No;No;No;Yes;No;Debit;117,065;Yes;107,60981;-6,914744;6045;Combination 12
279;279;49;Bandung;High End;No;Yes;No;No;Yes;Yes;Debit;128,765;Yes;107,60981;-6,914744;6704,1;Combination 7
280;280;2;Bandung;High End;No;No;No;No;No;No;Debit;90,675;Yes;107,60981;-6,914744;7367,1;Combination 2
282;282;7;Jakarta;High End;No;No;Yes;No;Yes;Yes;Debit;127,465;Yes;106,816666;-6,2;3329,3;Combination 3
283;283;41;Jakarta;High End;Yes;Yes;Yes;Yes;Yes;Yes;Debit;148,85;Yes;106,816666;-6,2;3949,4;Combination 13
284;284;2;Jakarta;High End;No;No;No;No;No;Yes;Pulsa;105,235;Yes;106,816666;-6,2;4592,9;Combination 2
285;285;13;Jakarta;High End;No;No;Yes;No;No;No;Pulsa;96,59;Yes;106,816666;-6,2;3893,5;Combination 5
286;286;11;Jakarta;High End;No;No;No;No;Yes;Yes;Debit;116,61;Yes;106,816666;-6,2;2862,6;Combination 9
287;287;17;Jakarta;High End;No;No;Yes;No;Yes;Yes;Credit;130,585;Yes;106,816666;-6,2;7160,4;Combination 3
288;288;25;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;117,52;Yes;106,816666;-6,2;7541,3;Combination 9
